"t" "B_HF_Mean" "B_HF_sd" "B_HM_Mean" "B_HM_sd" "B_MSM_Mean" "B_MSM_sd" "HF_Mean" "HF_sd" "HM_Mean" "HM_sd" "MSM_Mean" "MSM_sd" "Total_Mean" "Total_sd" "W_HF_Mean" "W_HF_sd" "W_HM_Mean" "W_HM_sd" "W_MSM_Mean" "W_MSM_sd"
"13" 12 0 0 0 0 0 0 1.46153846153846 1.83805917708368 1.26923076923077 1.56352658583581 0 0 2.73076923076923 3.11843155843052 1.46153846153846 1.83805917708368 1.26923076923077 1.56352658583581 0 0
"14" 13 0 0 0 0 0 0 1.92307692307692 2.27900113072507 1.30769230769231 1.51708221976874 0 0 3.23076923076923 3.54748014576761 1.92307692307692 2.27900113072507 1.30769230769231 1.51708221976874 0 0
"15" 14 0 0 0 0 0 0 1.96153846153846 2.18138981808881 2.19230769230769 2.17291013655385 0 0 4.15384615384615 3.95668859216702 1.96153846153846 2.18138981808881 2.19230769230769 2.17291013655385 0 0
"16" 15 0 0 0 0 0 0 2 2.28035085019828 1.80769230769231 2.15442299967728 0 0 3.80769230769231 4.28036662700036 2 2.28035085019828 1.80769230769231 2.15442299967728 0 0
"17" 16 0 0 0 0 0 0 2.15384615384615 2.52495239863737 1.80769230769231 2.26308162944655 0 0 3.96153846153846 4.48536080359892 2.15384615384615 2.52495239863737 1.80769230769231 2.26308162944655 0 0
"18" 17 0 0 0 0 0 0 2.15384615384615 1.86959477304164 1.80769230769231 2.09798438067076 0 0 3.96153846153846 3.38798783032961 2.15384615384615 1.86959477304164 1.80769230769231 2.09798438067076 0 0
"19" 18 0 0 0 0 0 0 2.53846153846154 2.78898933996915 2.5 2.9698484809835 0 0 5.03846153846154 5.36269163186375 2.53846153846154 2.78898933996915 2.5 2.9698484809835 0 0
"20" 19 0 0 0 0 0 0 1.92307692307692 2.20767890641872 1.15384615384615 1.64176265500974 0 0 3.07692307692308 3.22394884479363 1.92307692307692 2.20767890641872 1.15384615384615 1.64176265500974 0 0
"21" 20 0 0 0 0 0 0 2.46153846153846 2.46950633497093 2.42307692307692 3.22704914028996 0 0 4.88461538461539 5.21786870725528 2.46153846153846 2.46950633497093 2.42307692307692 3.22704914028996 0 0
"22" 21 0 0 0 0 0 0 2.19230769230769 2.53012617502338 2.42307692307692 3.65702695558102 0 0 4.61538461538461 5.8177447388274 2.19230769230769 2.53012617502338 2.42307692307692 3.65702695558102 0 0
"23" 22 0 0 0 0 0 0 2.46153846153846 2.46950633497093 2.73076923076923 2.93336247071776 0 0 5.19230769230769 4.80016025373513 2.46153846153846 2.46950633497093 2.73076923076923 2.93336247071776 0 0
"24" 23 0 0 0 0 0 0 1.96153846153846 1.88638849086331 2.26923076923077 2.55433266913599 0 0 4.23076923076923 3.95279842448554 1.96153846153846 1.88638849086331 2.26923076923077 2.55433266913599 0 0
"25" 24 0 0 0 0 0 0 3.07692307692308 2.63701462905426 2.30769230769231 2.2229571434327 0 0 5.38461538461539 4.18642494810953 3.07692307692308 2.63701462905426 2.30769230769231 2.2229571434327 0 0
"26" 25 0 0 0 0 0 0 3.42307692307692 2.70071215679238 2.15384615384615 2.36122523605534 0 0 5.57692307692308 4.14895723692667 3.42307692307692 2.70071215679238 2.15384615384615 2.36122523605534 0 0
"27" 26 0 0 0 0 0 0 2.61538461538462 2.09908404933053 3.34615384615385 2.78484911896221 0 0 5.96153846153846 4.60852053683843 2.61538461538462 2.09908404933053 3.34615384615385 2.78484911896221 0 0
"28" 27 0 0 0 0 0 0 3 2.46576560118759 3.03846153846154 3.18095292930618 0 0 6.03846153846154 5.07921859526262 3 2.46576560118759 3.03846153846154 3.18095292930618 0 0
"29" 28 0 0 0 0 0 0 3.57692307692308 3.70051971401939 2.76923076923077 3.30221370971283 0 0 6.34615384615385 6.72275126829668 3.57692307692308 3.70051971401939 2.76923076923077 3.30221370971283 0 0
"30" 29 0 0 0 0 0 0 3.73076923076923 4.28539559254632 3.38461538461538 3.25056208157202 0 0 7.11538461538461 7.17399148634523 3.73076923076923 4.28539559254632 3.38461538461538 3.25056208157202 0 0
"31" 30 0 0 0 0 0 0 3.76923076923077 3.63656642791183 3.38461538461538 2.63934723864706 0 0 7.15384615384615 5.63341677984015 3.76923076923077 3.63656642791183 3.38461538461538 2.63934723864706 0 0
"32" 31 0 0 0 0 0 0 3.84615384615385 3.20864217627716 3.46153846153846 3.15253255946097 0 0 7.30769230769231 5.59835140568529 3.84615384615385 3.20864217627716 3.46153846153846 3.15253255946097 0 0
"33" 32 0 0 0 0 0 0 4 4.55192267069642 3.73076923076923 3.67214043639611 0 0 7.73076923076923 7.64490780746343 4 4.55192267069642 3.73076923076923 3.67214043639611 0 0
"34" 33 0 0 0 0 0 0 3.88461538461538 3.99326355831341 3.57692307692308 3.4313038562398 0 0 7.46153846153846 6.96408368261479 3.88461538461538 3.99326355831341 3.57692307692308 3.4313038562398 0 0
"35" 34 0 0 0 0 0 0 4.11538461538461 4.11170935818108 4.65384615384615 4.38125377208221 0 0 8.76923076923077 8.06130357849246 4.11538461538461 4.11170935818108 4.65384615384615 4.38125377208221 0 0
"36" 35 0 0 0 0 0 0 4.30769230769231 3.58629871337267 4.30769230769231 3.97762975420519 0 0 8.61538461538461 6.96894208945331 4.30769230769231 3.58629871337267 4.30769230769231 3.97762975420519 0 0
"37" 36 0 0 0 0 0 0 4.19230769230769 4.1087149404088 3.57692307692308 3.07471074311815 0 0 7.76923076923077 6.78414441065455 4.19230769230769 4.1087149404088 3.57692307692308 3.07471074311815 0 0
"38" 37 0 0 0 0 0 0 5.11538461538461 3.80869450680333 3.30769230769231 2.47821275550314 0 0 8.42307692307692 5.52212333743517 5.11538461538461 3.80869450680333 3.30769230769231 2.47821275550314 0 0
"39" 38 0 0 0 0 0 0 4.15384615384615 3.02908973379539 4.07692307692308 3.1358963876133 0 0 8.23076923076923 5.70128190713416 4.15384615384615 3.02908973379539 4.07692307692308 3.1358963876133 0 0
"40" 39 0 0 0 0 0 0 4.73076923076923 3.4241225714941 3.69230769230769 3.06945246934017 0 0 8.42307692307692 6.13953142787348 4.73076923076923 3.4241225714941 3.69230769230769 3.06945246934017 0 0
"41" 40 0 0 0 0 0 0 4.76923076923077 3.5248567892349 4.19230769230769 3.00691510713862 0 0 8.96153846153846 5.99653746244127 4.76923076923077 3.5248567892349 4.19230769230769 3.00691510713862 0 0
"42" 41 0 0 0 0 0 0 4.46153846153846 3.4436116997219 4.15384615384615 3.46054686652047 0 0 8.61538461538461 5.96708922726599 4.46153846153846 3.4436116997219 4.15384615384615 3.46054686652047 0 0
"43" 42 0 0 0 0 0 0 4.19230769230769 2.77155885045554 4.53846153846154 2.80329476481899 0 0 8.73076923076923 5.04822893544017 4.19230769230769 2.77155885045554 4.53846153846154 2.80329476481899 0 0
"44" 43 0 0 0 0 0 0 4.92307692307692 2.97890015842192 4.07692307692308 2.9109871442255 0 0 9 5.47722557505166 4.92307692307692 2.97890015842192 4.07692307692308 2.9109871442255 0 0
"45" 44 0 0 0 0 0 0 4.96153846153846 2.86329557301749 4.15384615384615 3.66270181906535 0 0 9.11538461538461 5.58087393211438 4.96153846153846 2.86329557301749 4.15384615384615 3.66270181906535 0 0
"46" 45 0 0 0 0 0 0 5.88461538461539 3.69136205839441 5 3.04630924234556 0 0 10.8846153846154 6.21177541820001 5.88461538461539 3.69136205839441 5 3.04630924234556 0 0
"47" 46 0 0 0 0 0 0 5.15384615384615 3.36680629311884 4.76923076923077 2.98406021799417 0 0 9.92307692307692 5.72659114603497 5.15384615384615 3.36680629311884 4.76923076923077 2.98406021799417 0 0
"48" 47 0 0 0 0 0 0 5.84615384615385 3.80202375260658 4.92307692307692 3.45164397843204 0 0 10.7692307692308 6.57454297914428 5.84615384615385 3.80202375260658 4.92307692307692 3.45164397843204 0 0
"49" 48 0 0 0 0 0 0 5 3.286335345031 5.73076923076923 3.4241225714941 0 0 10.7307692307692 5.66785809496104 5 3.286335345031 5.73076923076923 3.4241225714941 0 0
"50" 49 0 0 0 0 0 0 4.80769230769231 3.21271512299775 4.42307692307692 3.0485810066072 0 0 9.23076923076923 5.60933288231456 4.80769230769231 3.21271512299775 4.42307692307692 3.0485810066072 0 0
"51" 50 0 0 0 0 0 0 4.19230769230769 2.68356823306926 4.80769230769231 3.3825343252565 0 0 9 5.14587213210744 4.19230769230769 2.68356823306926 4.80769230769231 3.3825343252565 0 0
"52" 51 0 0 0 0 0 0 4.73076923076923 2.72114229407714 4.03846153846154 2.6150452268482 0 0 8.76923076923077 4.86873858248883 4.73076923076923 2.72114229407714 4.03846153846154 2.6150452268482 0 0
"53" 52 0 0 0 0 0 0 5.11538461538461 3.38617097119355 4.26923076923077 2.7503845884922 0 0 9.38461538461539 5.06815092969357 5.11538461538461 3.38617097119355 4.26923076923077 2.7503845884922 0 0
"54" 53 0 0 0 0 0 0 5.03846153846154 2.9049030170492 4.23076923076923 3.21630461626622 0 0 9.26923076923077 5.51040972928651 5.03846153846154 2.9049030170492 4.23076923076923 3.21630461626622 0 0
"55" 54 0 0 0 0 0 0 5.30769230769231 3.66354179197378 5 2.89827534923789 0 0 10.3076923076923 5.78805135270399 5.30769230769231 3.66354179197378 5 2.89827534923789 0 0
