seed	t	Total	W_HM	B_HM	HM	W_HF	B_HF	HF	W_MSM	B_MSM	MSM
624553	88	4	1	0	1	3	0	3	0	0	0
624553	89	3	1	0	1	2	0	2	0	0	0
624553	90	2	0	0	0	2	0	2	0	0	0
624553	91	4	3	0	3	1	0	1	0	0	0
624553	92	2	1	0	1	1	0	1	0	0	0
624553	93	3	2	0	2	1	0	1	0	0	0
624553	94	4	3	0	3	1	0	1	0	0	0
624553	95	4	1	0	1	3	0	3	0	0	0
624553	96	9	3	0	3	6	0	6	0	0	0
624553	97	4	1	0	1	3	0	3	0	0	0
624553	98	9	7	0	7	2	0	2	0	0	0
624553	99	7	4	0	4	3	0	3	0	0	0
624553	100	12	4	0	4	8	0	8	0	0	0
624553	101	4	2	0	2	2	0	2	0	0	0
624553	102	2	0	0	0	2	0	2	0	0	0
624553	103	3	0	0	0	3	0	3	0	0	0
624553	104	3	2	0	2	1	0	1	0	0	0
624553	105	7	2	0	2	5	0	5	0	0	0
624553	106	4	4	0	4	0	0	0	0	0	0
624553	107	6	0	0	0	6	0	6	0	0	0
624553	108	4	1	0	1	3	0	3	0	0	0
624553	109	2	2	0	2	0	0	0	0	0	0
624553	110	5	4	0	4	1	0	1	0	0	0
624553	111	7	3	0	3	4	0	4	0	0	0
624553	112	10	6	0	6	4	0	4	0	0	0
624553	113	6	4	0	4	2	0	2	0	0	0
624553	114	5	4	0	4	1	0	1	0	0	0
624553	115	14	4	0	4	10	0	10	0	0	0
624553	116	9	5	0	5	4	0	4	0	0	0
624553	117	4	2	0	2	2	0	2	0	0	0
624553	118	2	2	0	2	0	0	0	0	0	0
624553	119	3	2	0	2	1	0	1	0	0	0
624553	120	6	5	0	5	1	0	1	0	0	0
636811	0	0	0	0	0	0	0	0	0	0	0
636811	1	4	0	0	0	4	0	4	0	0	0
636811	2	0	0	0	0	0	0	0	0	0	0
636811	3	4	1	0	1	3	0	3	0	0	0
636811	4	2	1	0	1	1	0	1	0	0	0
636811	5	3	2	0	2	1	0	1	0	0	0
636811	6	4	2	0	2	2	0	2	0	0	0
636811	7	5	2	0	2	3	0	3	0	0	0
636811	8	3	1	0	1	2	0	2	0	0	0
636811	9	6	2	0	2	4	0	4	0	0	0
636811	10	3	1	0	1	2	0	2	0	0	0
636811	11	5	3	0	3	2	0	2	0	0	0
636811	12	2	2	0	2	0	0	0	0	0	0
636811	13	5	1	0	1	4	0	4	0	0	0
636811	14	5	1	0	1	4	0	4	0	0	0
636811	15	4	2	0	2	2	0	2	0	0	0
636811	16	6	0	0	0	6	0	6	0	0	0
636811	17	6	2	0	2	4	0	4	0	0	0
636811	18	16	8	0	8	8	0	8	0	0	0
636811	19	11	5	0	5	6	0	6	0	0	0
636811	20	4	0	0	0	4	0	4	0	0	0
636811	21	3	2	0	2	1	0	1	0	0	0
636811	22	8	2	0	2	6	0	6	0	0	0
636811	23	4	1	0	1	3	0	3	0	0	0
636811	24	9	2	0	2	7	0	7	0	0	0
636811	25	8	6	0	6	2	0	2	0	0	0
636811	26	7	6	0	6	1	0	1	0	0	0
636811	27	4	3	0	3	1	0	1	0	0	0
636811	28	10	6	0	6	4	0	4	0	0	0
636811	29	10	5	0	5	5	0	5	0	0	0
